Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
COOLER DEPOT (50236-P1),14.58,CITY OF INDUSTRY,SOMERSET,LTL,LTL,COOLER DEPOT (50236-P1)
FBD LOGISTICS (228466-P1),26.42,Walnut,Reno,Truckload Expedited,Truckload Expedited,FBD LOGISTICS (228466-P1)
PLANTATION CANDIES (93930-P1),30.67,TELFORD,KENT,LTL,LTL,PLANTATION CANDIES (93930-P1)
THE NORTHWEST GROUP LLC (104134-P1),12.0,ELKIN,YUMA,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
JIAHERB INC (50655-P1),30.07,ANAHEIM,CITY OF INDUSTRY,LTL,LTL,JIAHERB INC (50655-P1)
FARM PLASTIC SUPPLY (96226-P1),13.5,ADDISON,BELOIT,LTL,LTL,FARM PLASTIC SUPPLY (96226-P1)
KINSEN FILTER MFG (107906-P1),35.86,TEMPLE CITY,SAINT PAUL,LTL,LTL,KINSEN FILTER MFG (107906-P1)
PRO MOTION DISTRIBUTING (92973-P1),29.97,SOUTH GATE,LAS VEGAS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
FITEC INTERNATIONAL (104202-P1),6.0,MEMPHIS,SUMMERLAND KEY,LTL,LTL,FITEC INTERNATIONAL (104202-P1)
EASYFLEX USA (58997-P1),19.09,DENTON,GREENVILLE,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,VERNON,LTL,LTL,EASYFLEX USA (58997-P1)
LLP GLOBAL (66427-P1),17.0,OVERLAND PARK,WOOD DALE,LTL,LTL,LLP GLOBAL (66427-P1)
GIDEONS INC (116845-P1),15.77,RANCHO CUCAMONGA,SOUTH EL MONTE,LTL,LTL,GIDEONS INC (116845-P1)
CODAN US (246619-P1),33.09,SAN DIEGO,JEFFERSONVILLE,LTL,LTL,CODAN US (246619-P1)
KINGFA GLOBAL INC (50330-P1),11.5,ONTARIO,SPRINGDALE,LTL,LTL,KINGFA GLOBAL INC (50330-P1)
ULTIMATE SOLUTIONS (116590-P1),13.5,HUNTINGTON BEACH,ROCK SPRINGS,LTL,LTL,ULTIMATE SOLUTIONS (116590-P1)
SUWANNEE RIVER SUPPLY (238487-P1),15.39,MADISON,HARRISON,LTL,LTL,SUWANNEE RIVER SUPPLY (238487-P1)
FBD LOGISTICS (228466-P1),19.73,Walnut,Reno,Truckload Expedited,Truckload Expedited,FBD LOGISTICS (228466-P1)
"THE STAPLETON GROUP, INC (235240-P1)",10.41,HUDSON,HAMBURG,LTL,LTL,"THE STAPLETON GROUP, INC (235240-P1)"
WORLD DEPOT (100744-P1),14.0,AZUSA,MILFORD,LTL,LTL,WORLD DEPOT (100744-P1)
THE NORTHWEST GROUP LLC (104134-P1),22.66,ELKIN,ELY,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
ANTOP (50570-P1),12.0,ONTARIO,EDMOND,LTL,LTL,ANTOP (50570-P1)
WORLD DEPOT (100744-P1),12.0,GRAND PRAIRIE,UNIVERSITY PARK,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
DEPLOYED LOGISTICS (94258-P1),33.12,SANTA ANA,MALIBU,LTL,LTL,DEPLOYED LOGISTICS (94258-P1)
KINGDOM DISTRIBUTORS (98029-P1),12.0,OXNARD,WALDPORT,LTL,LTL,KINGDOM DISTRIBUTORS (98029-P1)
BEST SHEET METAL (50790-P1),14.0,POMONA,MERIDIAN,LTL,LTL,BEST SHEET METAL (50790-P1)
EASYFLEX USA (58997-P1),19.08,DENTON,HOUSTON,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
FBD LOGISTICS (228466-P1),16.08,WALNUT,WIMAUMA,LTL,LTL,FBD LOGISTICS (228466-P1)
STRICTLY DIESEL (111096-P1),12.0,PHOENIX,MURFREESBORO,LTL,LTL,STRICTLY DIESEL (111096-P1)
JIAHERB INC (50655-P1),13.48,PINE BROOK,TEMPE,LTL,LTL,JIAHERB INC (50655-P1)
UNI FILTER (51384-P1),29.49,FULLERTON,PAYSON,LTL,LTL,UNI FILTER (51384-P1)
DEAVER SPRING INC (105340-P1),11.0,SANTA ANA,RENO,LTL,LTL,DEAVER SPRING INC (105340-P1)
LITE SOURCE INC (62990-P1),11.0,ONTARIO,SAN LEANDRO,LTL,LTL,LITE SOURCE INC (62990-P1)
FBD LOGISTICS (228466-P1),56.52,Walnut,Glendale,Truckload Expedited,Truckload Expedited,FBD LOGISTICS (228466-P1)
CASTELLE FURNITURE CO INC (104930-P1),21.0,SARASOTA,DENVER,LTL,LTL,CASTELLE FURNITURE CO INC (104930-P1)
SIERRA ALLOYS (61045-P1),15.42,BALDWIN PARK,TEMPE,LTL,LTL,SIERRA ALLOYS (61045-P1)
SHUMAN PLASTICS (85006-P1),31.47,MILLWOOD,WATERVILLE,LTL,LTL,SHUMAN PLASTICS (85006-P1)
CD VIDEO MFG (42102-P1),12.01,SANTA ANA,MEMPHIS,LTL,LTL,CD VIDEO MFG (42102-P1)
SERFAS - AZ (250327-P1),33.67,PHOENIX,YUMA,LTL,LTL,SERFAS - AZ (250327-P1)
MO' MONEY ASSOCIATES (232897-P1),10.46,LOS ANGELES,GAINESVILLE,Volume,Volume,MO' MONEY ASSOCIATES (232897-P1)
OCEAN ROCK USA (88679-P1),15.0,CORONA,STATEN ISLAND,LTL,LTL,OCEAN ROCK USA (88679-P1)
HAMPTON POPCORN (229994-P1),12.0,HAUPPAUGE,HOUSTON,LTL,LTL,HAMPTON POPCORN (229994-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,JACKSONVILLE,LTL,LTL,EASYFLEX USA (58997-P1)
THE NORTHWEST GROUP LLC (104134-P1),13.5,ELKIN,KINGMAN,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
OASIS IMAGING (245837-P1),14.73,SUMMERVILLE,HAWTHORNE,LTL,LTL,OASIS IMAGING (245837-P1)
TRASIAN MANUFACTURING LTD (252025-P1),16.93,GROVE CITY,BOISE,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
IOWA PARTS INC (102965-P1),12.07,MARION,NEWLAND,LTL,LTL,IOWA PARTS INC (102965-P1)
TNT SOLUTION KC LLC (109564-P1),12.0,VERO BEACH,MIAMI,LTL,LTL,TNT SOLUTION KC LLC (109564-P1)
